concept_id	term
194290005	Acute bilateral otitis media (disorder)
7271000119107	Acute bilateral otitis media with effusion (disorder)
13043002	Acute eustachian salpingitis (disorder)
194268005	Acute eustachian tube salpingitis (disorder)
19399000	Acute exudative otitis media (disorder)
194288009	Acute left otitis media (disorder)
297009	Acute myringitis (disorder)
194313009	Acute myringitis NOS (disorder)
598931000000108	Acute myringitis NOS (disorder)
194311006	Acute myringitis without otitis media (disorder)
360595002	Acute necrotizing otitis media (disorder)
3110003	Acute otitis media (disorder)
270490007	Acute otitis media with effusion (disorder)
84261000119106	Acute persistent otitis media (disorder)
194289001	Acute right otitis media (disorder)
194281003	Acute suppurative otitis media (disorder)
42337005	Acute suppurative otitis media (disorder)
155226009	Acute suppurative otitis media (disorder)
194283000	Acute suppurative otitis media NOS (disorder)
539871000000102	Acute suppurative otitis media NOS (disorder)
194282005	Acute suppurative otitis media due to another disease (disorder)
86279000	Acute suppurative otitis media with spontaneous rupture of ear drum (disorder)
14948001	Acute suppurative otitis media without spontaneous rupture of ear drum (disorder)
85108007	Acute tubotympanic catarrh (disorder)
194261004	Allergic otitis media NOS (disorder)
606881000000105	Allergic otitis media NOS (disorder)
703469002	Bacterial otitis media (disorder)
194286008	Bilateral suppurative otitis media (disorder)
33528003	Bullous myringitis (disorder)
29350000	Catarrhal otitis media (disorder)
194263001	Catarrhal otitis media NOS (disorder)
600041000000109	Catarrhal otitis media NOS (disorder)
445172009	Cholesterol granuloma of middle ear and mastoid (disorder)
194254003	Chronic mucoid otitis media NOS (disorder)
621141000000108	Chronic mucoid otitis media NOS (disorder)
194256001	Chronic otitis media with effusion, other (disorder)
621151000000106	Chronic otitis media with effusion, other (disorder)
194276007	Chronic otitis media with effusion, unspecified (disorder)
619661000000107	Chronic otitis media with effusion, unspecified (disorder)
194250007	Chronic serous otitis media NOS (disorder)
539811000000107	Chronic serous otitis media NOS (disorder)
35349000	Eustachian salpingitis (disorder)
270491006	Eustachian tube salpingitis (disorder)
194270001	Eustachian tube salpingitis NOS (disorder)
606911000000105	Eustachian tube salpingitis NOS (disorder)
194266009	Eustachian tube: [salpingitis] or [catarrh] (disorder)
32760002	Exudative otitis media (disorder)
194252004	Glue ear, unspecified (disorder)
551571000000104	Glue ear, unspecified (disorder)
232245002	Granular myringitis (disorder)
19021002	Haemophilus influenzae otitis media (disorder)
312218008	Infective otitis media (disorder)
16664009	Malignant otitis media (disorder)
194264007	Mucoid otitis media NOS (disorder)
643751000000106	Mucoid otitis media NOS (disorder)
14852000	Myringitis (disorder)
194265008	Non-suppurative otitis media NOS (disorder)
600051000000107	Non-suppurative otitis media NOS (disorder)
65363002	Otitis media (disorder)
267669008	Otitis media NOS (disorder)
155222006	Otitis media NOS (disorder)
647141000000100	Otitis media NOS (disorder)
10674911000119108	Otitis media caused by Influenza A virus (disorder)
10624911000119107	Otitis media caused by Influenza A virus subtype H1N1 (disorder)
721742004	Otitis media caused by Streptococcus pneumoniae (disorder)
10624951000119108	Otitis media caused by influenza virus (disorder)
1240521000000100	Otitis media due to disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)
1090001000119105	Otitis media due to scarlet fever (disorder)
1089341000119100	Otitis media of left ear (disorder)
1091951000119104	Otitis media of right ear (disorder)
7361000119105	Perforation of tympanic membrane due to otitis media (disorder)
39288006	Purulent otitis media (disorder)
194285007	Purulent otitis media NOS (disorder)
539881000000100	Purulent otitis media NOS (disorder)
155229002	Purulent otitis media NOS (disorder)
194262006	Serous otitis media NOS (disorder)
643741000000108	Serous otitis media NOS (disorder)
28795002	Subacute exudative otitis media (disorder)
89145009	Subacute tubotympanic catarrh (disorder)
1344896004	Suppurative otitis media of left ear (disorder)
1344897008	Suppurative otitis media of right ear (disorder)
194312004	Unspecified acute tympanitis (disorder)
598921000000106	Unspecified acute tympanitis (disorder)
194267000	Unspecified eustachian tube salpingitis (disorder)
606891000000107	Unspecified eustachian tube salpingitis (disorder)
194260003	Unspecified non-suppurative otitis media (disorder)
606871000000108	Unspecified non-suppurative otitis media (disorder)
194680006	[X]Otitis media in other diseases classified elsewhere (disorder)
420141000000100	[X]Otitis media in other diseases classified elsewhere (disorder)
