concept_id	term
195648002	(Acute nasopharyngitis or rhinitis) or (common cold) (disorder)
266377009	(Acute nasopharyngitis) or (common cold) or (acute coryza) or (acute rhinitis) or (sniffles) or (snuffles) (disorder)
155497009	(Acute nasopharyngitis) or (common cold) or (acute coryza) or (acute rhinitis) or (sniffles) or (snuffles) (disorder)
232341009	Acute rhinitis (disorder)
921000172108	Acute sore throat (finding)
196195006	Acute upper respiratory infection (disorder)
54398005	Acute upper respiratory infection (disorder)
195705000	Acute upper respiratory infection (disorder)
155516001	Acute upper respiratory infection (disorder)
78337007	Acute upper respiratory infection of multiple sites (disorder)
263712000	Cold - sensation (finding)
313094006	Cold - thermal agent (substance)
232342002	Common cold (disorder)
82272006	Common cold (disorder)
13933003	Feline viral rhinotracheitis (disorder)
139658009	Has a sore throat (finding)
162388002	Has a sore throat (situation)
54383008	Inclusion body rhinitis of swine (disorder)
155547007	Infection of the upper respiratory tract (disorder)
68686002	Infectious bovine rhinotracheitis (disorder)
164261009	Inflamed throat (disorder)
141458004	Inflamed throat (finding)
195704001	Other acute upper respiratory infections (disorder)
603141000000104	Other acute upper respiratory infections (disorder)
195710001	Other upper respiratory infections of multiple sites (disorder)
645631000000105	Other upper respiratory infections of multiple sites (disorder)
139668004	Pain in throat (finding)
162397003	Pain in throat (finding)
51388003	Pharyngeal pain (finding)
37616004	Pharyngitis (disorder)
155496000	Respiratory infection: [acute] or [upper] (disorder)
304521001	Sore throat (finding)
267102003	Sore throat (finding)
162390001	Sore throat symptom NOS (finding)
139660006	Sore throat symptom NOS (finding)
542861000000102	Sore throat symptom NOS (finding)
162386003	Throat soreness (& symptom) (finding)
267180009	Throat symptoms (& sore throat symptom) (disorder)
139656008	Throat symptoms (& sore throat symptom) (finding)
266379007	Throat: [acute pharyngitis] or [infection NOS] or [sore] (disorder)
155502006	Throat: [acute pharyngitis] or [infection NOS] or [sore] (disorder)
195654001	Throat: [acute pharyngitis] or [sore NOS (& viral)] or [infection] (disorder)
54150009	Upper respiratory infection (disorder)
266338006	Upper respiratory infection NOS (disorder)
693581000000101	Upper respiratory infection NOS (disorder)
195711002	Upper respiratory tract infection (& viral) NOS (disorder)
281794004	Viral upper respiratory tract infection (disorder)
233596008	Viral upper respiratory tract infection NOS (disorder)
644251000000101	Viral upper respiratory tract infection NOS (disorder)
158299009	[D]Throat pain (situation)
206949003	[D]Throat pain (situation)
497121000000103	[D]Throat pain (situation)
196199000	[X]Other acute upper respiratory infections of multiple sites (disorder)
411271000000104	[X]Other acute upper respiratory infections of multiple sites (disorder)
