concept_id	term
195960004	(Bullous emphysema with collapse) or (tension pneumatocoele) (disorder)
266394006	(Simple chronic bronchitis) or (smoker's cough) or (senile tracheobronchitis) (disorder)
20606002	Acute bovine pulmonary emphysema AND edema (disorder)
442025000	Acute exacerbation of chronic asthmatic bronchitis (disorder)
425748003	Acute exacerbation of chronic bronchitis (disorder)
155570004	Acute exacerbation of chronic obstructive airways disease (disorder)
155571000	Acute exacerbation of chronic obstructive airways disease (disorder)
293241000119100	Acute exacerbation of chronic obstructive bronchitis (disorder)
195951007	Acute exacerbation of chronic obstructive pulmonary disease (disorder)
1751000119100	Acute exacerbation of chronic obstructive pulmonary disease with asthma (disorder)
285381006	Acute infective exacerbation of chronic obstructive pulmonary disease (disorder)
847091000000104	Acute non-infective exacerbation of chronic obstructive pulmonary disease (disorder)
195963002	Acute vesicular emphysema (disorder)
944971000000100	Asthma-chronic obstructive pulmonary disease overlap syndrome 
10692761000119107	Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder)
944961000000107	Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder)
383621000000108	At risk of chronic obstructive pulmonary disease exacerbation 
383611000000102	At risk of chronic obstructive pulmonary disease exacerbation (finding)
266356006	Atrophic (senile) emphysema (disorder)
70756004	Bronchial atresia with segmental pulmonary emphysema (disorder)
762618008	Bronchiolitis obliterans syndrome due to and after lung transplantation (disorder)
1177120001	Bronchiolitis obliterans syndrome following allogeneic stem cell transplant (disorder)
195936003	Bronchitis: [unspecified (& chest infection)] or [recurrent wheezy] (disorder)
266355005	Bullous emphysema with collapse (disorder)
68328006	Centriacinar emphysema (disorder)
704120002	Change in chronic obstructive pulmonary disease management plan (regime/therapy)
89099002	Chronic allergic bronchitis (disorder)
195949008	Chronic asthmatic bronchitis (disorder)
63480004	Chronic bronchitis (disorder)
155566007	Chronic bronchitis (disorder)
195956002	Chronic bronchitis NOS (disorder)
621071000000101	Chronic bronchitis NOS (disorder)
785736001	Chronic bronchitis co-occurrent with wheeze (disorder)
195957006	Chronic bullous emphysema (disorder)
195961000	Chronic bullous emphysema NOS (disorder)
579661000000108	Chronic bullous emphysema NOS (disorder)
66110007	Chronic diffuse emphysema caused by inhalation of chemical fumes AND/OR vapors (disorder)
196026004	Chronic emphysema caused by chemical fumes (disorder)
836477007	Chronic emphysema caused by vapor (disorder)
47938003	Chronic obliterative bronchiolitis (disorder)
840350008	Chronic obliterative bronchiolitis caused by chemical fumes (disorder)
32544004	Chronic obliterative bronchiolitis caused by inhalation of chemical fumes AND/OR vapors (disorder)
840351007	Chronic obliterative bronchiolitis caused by vapor (disorder)
1761000119103	Chronic obstructive airway disease with asthma (disorder)
196003006	Chronic obstructive airways disease NOS (disorder)
155617000	Chronic obstructive airways disease NOS (disorder)
155585005	Chronic obstructive airways disease NOS (disorder)
611541000000106	Chronic obstructive airways disease NOS (disorder)
185086009	Chronic obstructive bronchitis (disorder)
71435009	Chronic obstructive bronchitis (disorder)
195935004	Chronic obstructive lung disease (disorder)
155569000	Chronic obstructive lung disease (disorder)
155565006	Chronic obstructive lung disease (disorder)
195948000	Chronic obstructive lung disease (disorder)
13645005	Chronic obstructive pulmonary disease (disorder)
760611000000109	Chronic obstructive pulmonary disease 3 month review 
760601000000107	Chronic obstructive pulmonary disease 3 monthly review (regime/therapy)
760631000000101	Chronic obstructive pulmonary disease 6 month review 
760621000000103	Chronic obstructive pulmonary disease 6 monthly review (regime/therapy)
169631000000104	Chronic obstructive pulmonary disease accident and emergency attendance since last visit
174211000000102	Chronic obstructive pulmonary disease accident and emergency attendance since last visit
413845009	Chronic obstructive pulmonary disease accident and emergency attendance since last visit (regime/therapy)
394703002	Chronic obstructive pulmonary disease annual review (regime/therapy)
393989003	Chronic obstructive pulmonary disease annual review (regime/therapy)
393033005	Chronic obstructive pulmonary disease annual review (regime/therapy)
213431000000100	Chronic obstructive pulmonary disease does not disturb sleep
213421000000102	Chronic obstructive pulmonary disease does not disturb sleep
198411000000102	Chronic obstructive pulmonary disease does not disturb sleep (finding)
413846005	Chronic obstructive pulmonary disease finding (finding)
394702007	Chronic obstructive pulmonary disease follow-up (regime/therapy)
393032000	Chronic obstructive pulmonary disease follow-up (regime/therapy)
393988006	Chronic obstructive pulmonary disease follow-up (regime/therapy)
390591003	Chronic obstructive pulmonary disease monitoring (regime/therapy)
390891009	Chronic obstructive pulmonary disease monitoring (regime/therapy)
389859001	Chronic obstructive pulmonary disease monitoring (regime/therapy)
40651000000100	Chronic obstructive pulmonary disease monitoring by doctor
81101000000107	Chronic obstructive pulmonary disease monitoring by doctor
76841000000101	Chronic obstructive pulmonary disease monitoring by doctor
42961000000108	Chronic obstructive pulmonary disease monitoring by doctor
401185004	Chronic obstructive pulmonary disease monitoring by doctor (regime/therapy)
44601000000106	Chronic obstructive pulmonary disease monitoring by doctor (regime/therapy)
40641000000103	Chronic obstructive pulmonary disease monitoring by nurse
76831000000105	Chronic obstructive pulmonary disease monitoring by nurse
81091000000104	Chronic obstructive pulmonary disease monitoring by nurse
42951000000105	Chronic obstructive pulmonary disease monitoring by nurse
401184000	Chronic obstructive pulmonary disease monitoring by nurse (regime/therapy)
44591000000100	Chronic obstructive pulmonary disease monitoring by nurse (regime/therapy)
371611000000107	Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation (finding)
491091000000105	Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation - enhanced services administration 
487261000000103	Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation - enhanced services administration 
811961000000106	Chronic obstructive pulmonary disease self-management plan agreed (finding)
390598009	Chronic obstructive pulmonary disease self-management plan given (finding)
391131001	Chronic obstructive pulmonary disease self-management plan given (regime/therapy)
389866000	Chronic obstructive pulmonary disease self-management plan given (situation)
832111000000108	Chronic obstructive pulmonary disease self-management plan review
810951000000101	Chronic obstructive pulmonary disease self-management plan review (procedure)
106001000119101	Chronic obstructive pulmonary disease with acute bronchitis (disorder)
233671000	Chronic obstructive pulmonary disease with acute exacerbation, unspecified (disorder)
196002001	Chronic obstructive pulmonary disease with acute exacerbation, unspecified (disorder)
644271000000105	Chronic obstructive pulmonary disease with acute exacerbation, unspecified (disorder)
196001008	Chronic obstructive pulmonary disease with acute lower respiratory infection (disorder)
52571006	Chronic tracheobronchitis (disorder)
266395007	Chronic: [bronchitis NOS] or [tracheobronchitis] (disorder)
155572007	Chronic: [bronchitis NOS] or [tracheobronchitis] (disorder)
33325001	Compensatory emphysema (disorder)
47895001	Congenital emphysema (disorder)
66987001	Congenital lobar emphysema (disorder)
359676009	Congenital lobar emphysema (disorder)
233676005	Congenital lobar emphysema (disorder)
811971000000104	Congestive obstructive pulmonary disease self-management plan agreed 
169641000000108	Emergency chronic obstructive pulmonary disease admission since last appointment
174221000000108	Emergency chronic obstructive pulmonary disease admission since last appointment
414087000	Emergency chronic obstructive pulmonary disease admission since last appointment (regime/therapy)
155573002	Emphysema (disorder)
1010333003	Emphysema of left lung (disorder)
1010334009	Emphysema of right lung (disorder)
195964008	Emphysema: [acute interstitial] or [atrophic - senile] (disorder)
57686001	Emphysematous bleb of lung (disorder)
195950008	Emphysematous bronchitis (disorder)
834491000000101	End stage chronic obstructive airways disease
135836000	End stage chronic obstructive pulmonary disease (disorder)
84409004	Fetid chronic bronchitis (disorder)
21072009	Gas bubble disease (disorder)
16003001	Giant bullous emphysema (disorder)
161526003	H/O: [COAD] or [bronchitis] (situation)
267147002	H/O: [obstructive airway disease(& chronic)] or [bronchitis] (situation)
138795009	H/O: [obstructive airway disease(& chronic)] or [bronchitis] (situation)
60805002	Hemolytic anemia with emphysema AND cutis laxa (disorder)
270473001	History of chronic obstructive airway disease (situation)
77690003	Interstitial emphysema of lung (disorder)
390898003	Interstitial pulmonary emphysema (disorder)
196144009	Mediastinal emphysema (disorder)
155582008	Mild chronic obstructive pulmonary disease (disorder)
313296004	Mild chronic obstructive pulmonary disease (disorder)
195996000	Mild chronic obstructive pulmonary disease (disorder)
195953005	Mixed simple and mucopurulent chronic bronchitis (disorder)
195997009	Moderate chronic obstructive pulmonary disease (disorder)
313297008	Moderate chronic obstructive pulmonary disease (disorder)
155583003	Moderate chronic obstructive pulmonary disease (disorder)
74417001	Mucopurulent chronic bronchitis (disorder)
195944003	Mucopurulent chronic bronchitis (disorder)
155568008	Mucopurulent chronic bronchitis (disorder)
195947005	Mucopurulent chronic bronchitis NOS (disorder)
649141000000105	Mucopurulent chronic bronchitis NOS (disorder)
207331000000102	Multiple chronic obstructive pulmonary disease emergency hospital admissions
207321000000104	Multiple chronic obstructive pulmonary disease emergency hospital admissions
198901000000105	Multiple chronic obstructive pulmonary disease emergency hospital admissions (finding)
195952000	Obstructive chronic bronchitis NOS (disorder)
601581000000100	Obstructive chronic bronchitis NOS (disorder)
16846004	Obstructive emphysema (disorder)
49691004	Occupational bronchitis (disorder)
195954004	Other chronic bronchitis (disorder)
601591000000103	Other chronic bronchitis (disorder)
195955003	Other chronic bronchitis NOS (disorder)
621061000000108	Other chronic bronchitis NOS (disorder)
195999007	Other specified chronic obstructive airways disease (disorder)
581981000000100	Other specified chronic obstructive airways disease (disorder)
206300003	Other specified perinatal interstitial emphysema or related condition (disorder)
566831000000101	Other specified perinatal interstitial emphysema or related condition (disorder)
4981000	Panacinar emphysema (disorder)
31898008	Paraseptal emphysema (disorder)
206299006	Perinatal interstitial emphysema and related conditions (disorder)
528511000000103	Perinatal interstitial emphysema and related conditions (disorder)
206301004	Perinatal interstitial emphysema or related condition NOS (disorder)
566841000000105	Perinatal interstitial emphysema or related condition NOS (disorder)
789671000000109	Preferred place of care for next exacerbation of chronic obstructive pulmonary disease 
789661000000102	Preferred place of care for next exacerbation of chronic obstructive pulmonary disease (finding)
735465007	Protracted bronchitis caused by bacterium (disorder)
87433001	Pulmonary emphysema (disorder)
708030004	Pulmonary emphysema co-occurrent with fibrosis of lung (disorder)
233674008	Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency (disorder)
697911002	Pulmonary hypertension due to chronic obstructive pulmonary disease (disorder)
195945002	Purulent chronic bronchitis (disorder)
195946001	Purulent chronic bronchitis (disorder)
86680006	Ruptured emphysematous bleb of lung (disorder)
233677001	Scar emphysema (disorder)
195958001	Segmental bullous emphysema (disorder)
195998004	Severe chronic obstructive pulmonary disease (disorder)
313299006	Severe chronic obstructive pulmonary disease (disorder)
155584009	Severe chronic obstructive pulmonary disease (disorder)
897321000000107	Shared care chronic obstructive disease monitoring 
897311000000101	Shared care chronic obstructive pulmonary disease monitoring (regime/therapy)
61937009	Simple chronic bronchitis (disorder)
195942004	Simple chronic bronchitis (disorder)
195943009	Simple chronic bronchitis NOS (disorder)
649131000000101	Simple chronic bronchitis NOS (disorder)
704123000	Step down change in chronic obstructive pulmonary disease management plan (regime/therapy)
523661000000105	Step down change in chronic obstructive pulmonary disease management plan (regime/therapy)
704121003	Step up change in chronic obstructive pulmonary disease management plan (regime/therapy)
523671000000103	Step up change in chronic obstructive pulmonary disease management plan (regime/therapy)
233675009	Toxic emphysema (disorder)
45145000	Unilateral emphysema (situation)
23958009	Vanishing lung (disorder)
294001000000101	Very severe chronic obstructive pulmonary disease 
294011000000104	Very severe chronic obstructive pulmonary disease 
293991000000106	Very severe chronic obstructive pulmonary disease (disorder)
195959009	Zonal bullous emphysema (disorder)
390971000000109	[X]Other conditions related to interstitial emphysema originating in the perinatal period (disorder)
196231009	[X]Other specified chronic obstructive pulmonary disease (disorder)
419861000000108	[X]Other specified chronic obstructive pulmonary disease (disorder)
