concept_id	term
24059009	Acute cerebellar ataxia caused by varicella (disorder)
733167008	Acute geniculate ganglionitis caused by Human herpesvirus 3 (disorder)
838357005	Acute glossopharyngeal neuropathy caused by Herpes zoster (disorder)
230262004	Amyotrophy caused by herpes zoster (disorder)
239961000000106	Chickenpox exanthem (disorder)
195911009	Chickenpox pneumonia (disorder)
186510007	Chickenpox pneumonia (disorder)
23737006	Chickenpox with complication (disorder)
111858004	Chickenpox with other specified complications (disorder)
90433002	Congenital varicella infection (disorder)
734287009	Deoxyribonucleic acid of Varicella-zoster virus vaccine strain detected (finding)
734285001	Deoxyribonucleic acid of Varicella-zoster virus wild-type detected (finding)
1142085005	Disseminated perinatal varicella (disorder)
423333008	Exanthem due to varicella (disorder)
715223009	Fetal varicella syndrome (disorder)
713250002	Gingival disease caused by varicella-zoster virus (disorder)
138696001	H/O: chickenpox (situation)
31920006	Hemorrhagic pneumonia caused by varicella (disorder)
67337008	Herpes zoster dermatitis of eyelids (disorder)
230176008	Herpes zoster encephalitis (disorder)
186521003	Herpes zoster encephalitis (disorder)
192692005	Herpes zoster encephalitis (disorder)
98541000119101	Herpes zoster myelitis (disorder)
424941009	Herpes zoster radiculitis (disorder)
186525007	Herpes zoster with dermatitis of eyelid (disorder)
161423008	History of chickenpox (situation)
416718008	Infection of skin of eyelid due to herpes zoster (disorder)
240473007	Mandibular herpes zoster infection (disorder)
240472002	Maxillary herpes zoster infection (disorder)
10491005	Meningitis caused by Human alphaherpesvirus 3 (disorder)
230147005	Meningitis due to herpes zoster virus (disorder)
186515002	Meningitis due to herpes zoster virus (disorder)
192670006	Meningitis due to herpes zoster virus (disorder)
240468001	Neurological varicella (disorder)
870310004	Perinatal mucocutaneous infection caused by Human herpesvirus 3 (disorder)
240469009	Perinatal varicella (disorder)
186509002	Postvaricella encephalitis (disorder)
84669009	Postvaricella encephalitis (disorder)
38907003	Varicella (disorder)
186508005	Varicella infection (& [chickenpox]) (disorder)
154325003	Varicella infection (disorder)
192732000	Varicella transverse myelitis (disorder)
230198004	Varicella transverse myelitis (disorder)
186513009	Varicella with no complication NOS (disorder)
645991000000101	Varicella with no complication NOS (disorder)
186511006	Varicella with other specified complications (disorder)
664611000000107	Varicella with other specified complications (disorder)
186512004	Varicella with unspecified complications NOS (disorder)
664621000000101	Varicella with unspecified complications NOS (disorder)
187419000	[X]Varicella with other complications (disorder)
425651000000102	[X]Varicella with other complications (disorder)
187420006	[X]Varicella without complications (disorder)
438851000000109	[X]Varicella without complications (disorder)
