concept_id	term
5505005	Acute bronchiolitis (disorder)
155513009	Acute bronchiolitis (disorder)
195741000	Acute bronchiolitis NOS (disorder)
621031000000103	Acute bronchiolitis NOS (disorder)
233603001	Acute bronchiolitis caused by adenovirus (disorder)
195739001	Acute bronchiolitis caused by respiratory syncytial virus (disorder)
831801000000108	Acute bronchiolitis due to human metapneumovirus
810711000000102	Acute bronchiolitis due to human metapneumovirus (disorder)
195740004	Acute bronchiolitis due to other specified organisms (disorder)
621021000000100	Acute bronchiolitis due to other specified organisms (disorder)
15199004	Acute bronchiolitis with bronchospasm (disorder)
195736008	Acute bronchiolitis with bronchospasm (disorder)
718004	Acute bronchiolitis with obstruction (disorder)
155511006	Acute bronchitis and bronchiolitis (disorder)
195712009	Acute bronchitis and/or bronchiolitis (disorder)
195734006	Acute capillary bronchiolitis (disorder)
195737004	Acute exudative bronchiolitis (disorder)
233602006	Acute viral bronchiolitis (disorder)
13089009	Adenoviral bronchiolitis (disorder)
4120002	Bronchiolitis (disorder)
10629191000119100	Bronchiolitis caused by influenza virus (disorder)
52409006	Bronchiolitis exudativa (disorder)
445102008	Inflammation of bronchiole caused by Human metapneumovirus (disorder)
87695000	Necrotizing bronchiolitis (disorder)
1078241002	Recurrent bronchiolitis (disorder)
57089007	Respiratory syncytial virus bronchiolitis (disorder)
418961000000106	[X]Acute bronchiolitis due to other specified organisms (disorder)
196216000	[X]Acute bronchiolitis due to other specified organisms (disorder)
