concept_id	term
267734002	(Acute conjunctivitis) or (Newcastle's disease) or (viral pharyngoconjunctivitis) or (pink eye) or (sticky eye) (disorder)
155162002	(Acute conjunctivitis) or (Newcastle's disease) or (viral pharyngoconjunctivitis) or (pink eye) or (sticky eye) (disorder)
154358007	(Other coxsackie disease) or (herpangina) (disorder)
266197009	(Other coxsackie disease) or (herpangina) (disorder)
195658003	Acute bacterial pharyngitis (disorder)
195661002	Acute bacterial pharyngitis NOS (disorder)
623441000000100	Acute bacterial pharyngitis NOS (disorder)
195671000	Acute bacterial tonsillitis (disorder)
195674008	Acute bacterial tonsillitis NOS (disorder)
623461000000104	Acute bacterial tonsillitis NOS (disorder)
195669000	Acute catarrhal tonsillitis (disorder)
195666007	Acute erythematous tonsillitis (disorder)
195667003	Acute follicular tonsillitis (disorder)
195655000	Acute gangrenous pharyngitis (disorder)
195670004	Acute gangrenous tonsillitis (disorder)
232399005	Acute herpes simplex pharyngitis (disorder)
232400003	Acute herpes zoster pharyngitis (disorder)
1296672005	Acute infective pharyngitis caused by Streptococcus (disorder)
55355000	Acute laryngopharyngitis (disorder)
302911003	Acute lingual tonsillitis (disorder)
602893011000119101	Acute nasopharyngitis caused by respiratory syncytial virus (disorder)
363746003	Acute pharyngitis (disorder)
27321001	Acute pharyngitis (disorder)
195664005	Acute pharyngitis NOS (disorder)
607921000000102	Acute pharyngitis NOS (disorder)
367427004	Acute pharyngitis, NOS (disorder)
195656004	Acute phlegmonous pharyngitis (disorder)
195659006	Acute pneumococcal pharyngitis (disorder)
195672007	Acute pneumococcal tonsillitis (disorder)
195660001	Acute staphylococcal pharyngitis (disorder)
195673002	Acute staphylococcal tonsillitis (disorder)
17741008	Acute tonsillitis (disorder)
155503001	Acute tonsillitis (disorder)
195678006	Acute tonsillitis NOS (disorder)
623471000000106	Acute tonsillitis NOS (disorder)
195657008	Acute ulcerative pharyngitis (disorder)
195668008	Acute ulcerative tonsillitis (disorder)
195662009	Acute viral pharyngitis (disorder)
195676005	Acute viral tonsillitis (disorder)
78430008	Adenoviral pharyngitis (disorder)
70385007	Adenoviral pharyngoconjunctivitis (disorder)
703468005	Bacterial tonsillitis (disorder)
232403001	Chlamydial pharyngitis (disorder)
186730008	Chlamydial pharyngitis (disorder)
40766000	Enteroviral lymphonodular pharyngitis (disorder)
37428001	Enteroviral vesicular pharyngitis (disorder)
126664009	Exudative pharyngitis (disorder)
27878001	Follicular tonsillitis (disorder)
186387001	Fusobacterial necrotising tonsillitis (disorder)
240444009	Fusobacterial necrotizing tonsillitis (disorder)
399095008	Fusospirochetal pharyngitis (disorder)
72430001	Gangrenous pharyngitis (disorder)
