concept_id	term
186518000	(Geniculate herpes zoster) or (Ramsey Hunt syndrome) (disorder)
87014001	AIDS with herpes zoster (disorder)
423628002	Acute herpes zoster neuropathy (disorder)
230536009	Acute trigeminal herpes zoster (disorder)
230262004	Amyotrophy caused by herpes zoster (disorder)
15989311000119107	Conjunctivitis of bilateral eyes caused by herpes zoster virus (disorder)
15989351000119108	Conjunctivitis of left eye caused by herpes zoster virus (disorder)
15989271000119107	Conjunctivitis of right eye caused by herpes zoster virus (disorder)
424353002	Corneal haze caused by herpes zoster (disorder)
12551000132107	Cranial neuropathy due to Herpes zoster (disorder)
55560002	Disseminated herpes zoster (disorder)
186530006	Disseminated zoster (disorder)
186529001	Geniculate herpes zoster (disorder)
154330004	Geniculate herpes zoster (disorder)
4740000	Herpes zoster (disorder)
186533008	Herpes zoster NOS (disorder)
664671000000102	Herpes zoster NOS (disorder)
186514003	Herpes zoster [organism] or [infection - shingles] (disorder)
422471006	Herpes zoster acute retinal necrosis (disorder)
21954000	Herpes zoster auricularis (disorder)
410509003	Herpes zoster conjunctivitis (disorder)
424801004	Herpes zoster corneal endotheliitis (disorder)
400020001	Herpes zoster dermatitis (disorder)
67337008	Herpes zoster dermatitis of eyelids (disorder)
230176008	Herpes zoster encephalitis (disorder)
186521003	Herpes zoster encephalitis (disorder)
192692005	Herpes zoster encephalitis (disorder)
154326002	Herpes zoster infection (disorder)
426570007	Herpes zoster interstitial keratitis (disorder)
402897003	Herpes zoster involving cervical dermatome (disorder)
240471009	Herpes zoster involving lumbar dermatome (disorder)
402898008	Herpes zoster involving sacral dermatome (disorder)
240470005	Herpes zoster involving thoracic dermatome (disorder)
410500004	Herpes zoster involving tip of nose (disorder)
10698009	Herpes zoster iridocyclitis (disorder)
331071000119101	Herpes zoster iritis (disorder)
397573005	Herpes zoster keratitis (disorder)
42448002	Herpes zoster keratoconjunctivitis (disorder)
87513003	Herpes zoster ophthalmicus (disorder)
424435009	Herpes zoster pseudodendrites (disorder)
421029004	Herpes zoster retinitis (disorder)
422446008	Herpes zoster subepithelial infiltrates (disorder)
422127002	Herpes zoster with acquired immunodeficiency syndrome (disorder)
49183009	Herpes zoster with complication (disorder)
186525007	Herpes zoster with dermatitis of eyelid (disorder)
111861003	Herpes zoster with nervous system complication (disorder)
186524006	Herpes zoster with ophthalmic complication (disorder)
266099009	Herpes zoster with other central nervous system complication (disorder)
186517005	Herpes zoster with other central nervous system complication (disorder)
695481000000101	Herpes zoster with other central nervous system complication (disorder)
186523000	Herpes zoster with other central nervous system complication NOS (disorder)
646001000000102	Herpes zoster with other central nervous system complication NOS (disorder)
111862005	Herpes zoster with other complications (disorder)
111860002	Herpes zoster with other nervous system complications (disorder)
186527004	Herpes zoster with other ophthalmic complication (disorder)
664631000000104	Herpes zoster with other ophthalmic complication (disorder)
186528009	Herpes zoster with other specified complication (disorder)
664641000000108	Herpes zoster with other specified complication (disorder)
186531005	Herpes zoster with other specified complication NOS (disorder)
646011000000100	Herpes zoster with other specified complication NOS (disorder)
186532003	Herpes zoster with unspecified complication (disorder)
646021000000106	Herpes zoster with unspecified complication (disorder)
111859007	Herpes zoster without complication (disorder)
512281000000101	Hutchinson's sign - herpes zoster involving nose tip 
512271000000103	Hutchinson's sign - herpes zoster involving nose tip (finding)
713733003	Infection caused by herpes zoster virus co-occurrent with human immunodeficiency virus infection (disorder)
1163483009	Infection of eyelid due to herpes zoster (disorder)
15681361000119105	Infection of skin of bilateral eyelids due to herpes zoster (disorder)
416718008	Infection of skin of eyelid due to herpes zoster (disorder)
282742004	Intercostal post-herpetic neuritis (disorder)
15685241000119103	Interstitial keratitis of bilateral eyes caused by Human alphaherpesvirus 3 (disorder)
15685201000119100	Interstitial keratitis of left eye caused by Herpes zoster virus (disorder)
15685281000119108	Interstitial keratitis of right eye caused by Herpes zoster virus (disorder)
15678841000119100	Iridocyclitis of bilateral eyes caused by Human alphaherpesvirus 3 (disorder)
15991791000119104	Iritis of left eye caused by herpes zoster virus (disorder)
15991711000119108	Iritis of right eye caused by herpes zoster virus (disorder)
15992311000119100	Keratitis of left eye due to herpes zoster (disorder)
15992271000119100	Keratitis of right eye due to herpes zoster (disorder)
15680281000119103	Keratoconjunctivitis of bilateral eyes caused by Human alphaherpesvirus 3 (disorder)
240473007	Mandibular herpes zoster infection (disorder)
