concept_id	term
360918006	Aggressive non-smoker (finding)
405746006	Current non smoker but past smoking history unknown (finding)
160618006	Current non-smoker (finding)
138002006	Current non-smoker (finding)
360929005	Intolerant non-smoker (finding)
72524004	Intolerant non-smoker (life style)
221000119102	Never smoked any substance (finding)
266919005	Never smoked tobacco (finding)
137982008	Non-smoker (& [never smoked tobacco]) (finding)
160601007	Non-smoker (& [never smoked tobacco]) (finding)
8392000	Non-smoker (finding)
105541001	Non-smoker for medical reasons (finding)
105539002	Non-smoker for personal reasons (finding)
105540000	Non-smoker for religious reasons (finding)
267123009	Tobacco consumption: [non-smoker] or [smoker - amount smoked] (finding)
137981001	Tobacco consumption: [non-smoker] or [smoker - amount smoked] (observable entity)
87739003	Tolerant non-smoker (finding)
