concept_id	term
80042002	Cardiac rate (observable entity)
295091000000109	Dorsalis pedis pulse rate (observable entity)
891771000000103	Heart rate
364075005	Heart rate (observable entity)
250764009	Heart rate (observable) (observable entity)
422119006	Heart rate measured at brachial artery (observable entity)
1089491000000108	Heart rate measured at cardiac apex (observable entity)
429525003	Heart rate measured at dorsalis pedis artery (observable entity)
429614003	Heart rate measured at posterior tibial artery (observable entity)
78564009	Heart rate measured at systemic artery (observable entity)
399017001	Heart rate on admission (observable entity)
162991008	On examination - pulse borderline fast (finding)
162989000	On examination - pulse borderline slow (finding)
162986007	On examination - pulse rate (finding)
162988008	On examination - pulse rate - bradycardia (finding)
567391000000109	On examination - pulse rate NOS (finding)
162990009	On examination - pulse rate normal (finding)
162995004	On examination - pulse rate stable (finding)
162992001	On examination - pulse rate tachycardia (finding)
162993006	On examination - pulse rate very fast (finding)
162987003	On examination - pulse rate very slow (finding)
162994000	On examination - pulse rate-pulse deficit (finding)
295081000000107	Posterior tibial pulse rate (observable entity)
364094000	Pulse rate (observable entity)
843951000000102	Radial pulse rate 
843941000000100	Radial pulse rate (observable entity)
444981005	Resting heart rate (observable entity)
511831000000106	Resting heart rate (observable entity)
