concept_id	term
195980003	(Severe asthma attack) or (status asthmaticus NOS) (disorder)
304527002	Acute asthma (disorder)
708038006	Acute exacerbation of asthma (disorder)
99031000119107	Acute exacerbation of asthma co-occurrent with allergic rhinitis (disorder)
442025000	Acute exacerbation of chronic asthmatic bronchitis (disorder)
1751000119100	Acute exacerbation of chronic obstructive pulmonary disease with asthma (disorder)
708093000	Acute exacerbation of immunoglobulin E-mediated allergic asthma (disorder)
10674791000119101	Acute exacerbation of intermittent allergic asthma (disorder)
708094006	Acute exacerbation of intrinsic asthma (disorder)
135181000119109	Acute exacerbation of mild persistent asthma (disorder)
10676271000119104	Acute exacerbation of moderate persistent allergic asthma (disorder)
135171000119106	Acute exacerbation of moderate persistent asthma (disorder)
10675311000119105	Acute exacerbation of severe persistent allergic asthma (disorder)
782513000	Acute severe exacerbation of allergic asthma (disorder)
708090002	Acute severe exacerbation of asthma (disorder)
1064771000000103	Acute severe exacerbation of asthma (disorder)
735587000	Acute severe exacerbation of asthma co-occurrent and due to allergic asthma (disorder)
10674711000119105	Acute severe exacerbation of asthma co-occurrent with allergic rhinitis (disorder)
708095007	Acute severe exacerbation of immunoglobin E-mediated allergic asthma (disorder)
708096008	Acute severe exacerbation of intrinsic asthma (disorder)
10675911000119109	Acute severe exacerbation of mild persistent allergic asthma (disorder)
10675991000119100	Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis (disorder)
707981009	Acute severe exacerbation of mild persistent asthma (disorder)
10676431000119103	Acute severe exacerbation of moderate persistent allergic asthma (disorder)
707980005	Acute severe exacerbation of moderate persistent asthma (disorder)
10676511000119109	Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis (disorder)
10675471000119109	Acute severe exacerbation of severe persistent allergic asthma (disorder)
707979007	Acute severe exacerbation of severe persistent asthma (disorder)
10675551000119104	Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis (disorder)
733858005	Acute severe refractory exacerbation of asthma (disorder)
30352005	Allergic-infective asthma (disorder)
195981004	Asthma attack (& NOS) (disorder)
155578006	Asthma attack (& NOS) (disorder)
266364000	Asthma attack (disorder)
274105009	Asthma attack NOS (disorder)
653751000000109	Asthma attack NOS (disorder)
57546000	Asthma with status asthmaticus (disorder)
266398009	Asthma: [NOS] or [attack] (disorder)
155579003	Asthma: [NOS] or [attack] (disorder)
10692721000119102	Chronic obstructive asthma co-occurrent with acute exacerbation of asthma (disorder)
762521001	Exacerbation of allergic asthma (disorder)
782520007	Exacerbation of allergic asthma due to infection (disorder)
195978009	Exacerbation of asthma (disorder)
367110001	Exacerbation of asthma (disorder)
281239006	Exacerbation of asthma (disorder)
425969006	Exacerbation of intermittent asthma (disorder)
707445000	Exacerbation of mild persistent asthma (disorder)
707446004	Exacerbation of moderate persistent asthma (disorder)
427354000	Exacerbation of persistent asthma (disorder)
707447008	Exacerbation of severe persistent asthma (disorder)
233681001	Extrinsic asthma with asthma attack (disorder)
266360009	Extrinsic asthma with status asthmaticus (disorder)
91340006	Extrinsic asthma with status asthmaticus (disorder)
195971003	Extrinsic asthma with: [asthma attack] or [status asthmaticus] (disorder)
233685005	Intrinsic asthma with asthma attack (disorder)
59327009	Intrinsic asthma with status asthmaticus (disorder)
266362001	Intrinsic asthma with status asthmaticus (disorder)
195975007	Intrinsic asthma with: [asthma attack] or [status asthmaticus] (disorder)
1086701000000102	Life threatening acute exacerbation of allergic asthma (disorder)
734904007	Life threatening acute exacerbation of asthma (disorder)
1064821000000109	Life threatening acute exacerbation of asthma (disorder)
1086711000000100	Life threatening acute exacerbation of intrinsic asthma (disorder)
734905008	Moderate acute exacerbation of asthma (disorder)
1064811000000103	Moderate acute exacerbation of asthma (disorder)
786836003	Near fatal asthma (disorder)
36979006	Status asthmaticus (disorder)
155577001	Status asthmaticus (disorder)
266363006	Status asthmaticus NOS (disorder)
689421000000104	Status asthmaticus NOS (disorder)
829976001	Thunderstorm asthma (disorder)
