concept_id	term
195722003	Acute Moraxella catarrhalis bronchitis (disorder)
233598009	Acute bacterial bronchitis (disorder)
195732005	Acute bacterial bronchitis unspecified (disorder)
651951000000105	Acute bacterial bronchitis unspecified (disorder)
195713004	Acute bronchitis (& wheezy) (disorder)
10509002	Acute bronchitis (disorder)
195733000	Acute bronchitis NOS (disorder)
155515002	Acute bronchitis NOS (disorder)
621011000000106	Acute bronchitis NOS (disorder)
195721005	Acute bronchitis caused by Haemophilus influenzae (disorder)
10629151000119105	Acute bronchitis caused by coxsackievirus (disorder)
195728004	Acute bronchitis caused by rhinovirus (disorder)
138389411000119105	Acute bronchitis caused by severe acute respiratory syndrome coronavirus 2 (disorder)
714203003	Acute bronchitis co-occurrent with bronchiectasis (disorder)
785745000	Acute bronchitis co-occurrent with wheeze (disorder)
195743002	Acute bronchitis or bronchiolitis NOS (disorder)
705871000000109	Acute bronchitis or bronchiolitis NOS (disorder)
80257001	Acute bronchitis with bronchospasm (disorder)
5875001	Acute bronchitis with obstruction (disorder)
233600003	Acute chlamydial bronchitis (disorder)
195725001	Acute coxsackievirus bronchitis (disorder)
195718008	Acute croupous bronchitis (disorder)
195729007	Acute echovirus bronchitis (disorder)
195714005	Acute fibrinous bronchitis (disorder)
312371005	Acute infective bronchitis (disorder)
312400008	Acute infective tracheobronchitis (disorder)
266340001	Acute lower respiratory tract infection (disorder)
155514003	Acute lower respiratory tract infection (disorder)
195715006	Acute membranous bronchitis (disorder)
195723008	Acute mycoplasmal bronchitis (disorder)
233599001	Acute mycoplasmal bronchitis (disorder)
195726000	Acute parainfluenza virus bronchitis (disorder)
195719000	Acute pneumococcal bronchitis (disorder)
195716007	Acute pseudomembranous bronchitis (disorder)
195717003	Acute purulent bronchitis (disorder)
195727009	Acute respiratory syncytial virus bronchitis (disorder)
195720006	Acute streptococcal bronchitis (disorder)
233799004	Acute toxic tracheobronchitis (disorder)
35301006	Acute tracheobronchitis (disorder)
233601004	Acute viral bronchitis (disorder)
195731003	Acute viral bronchitis unspecified (disorder)
651941000000107	Acute viral bronchitis unspecified (disorder)
275499005	Acute wheezy bronchitis (disorder)
266380005	Acute: [bronchitis] or [chest infections] or [tracheobronchitis] (disorder)
155512004	Acute: [bronchitis] or [chest infections] or [tracheobronchitis] (disorder)
111849006	Adenoviral bronchitis (disorder)
405944004	Asthmatic bronchitis (disorder)
42002000	Avian infectious bronchitis (disorder)
32398004	Bronchitis (disorder)
155616009	Bronchitis NOS (disorder)
195940007	Bronchitis NOS (disorder)
649121000000103	Bronchitis NOS (disorder)
1163489008	Bronchitis caused by Human metapneumovirus (disorder)
785744001	Bronchitis co-occurrent with acute wheeze (disorder)
785737005	Bronchitis co-occurrent with chronic wheeze (disorder)
785728005	Bronchitis co-occurrent with wheeze (disorder)
266354009	Bronchitis unspecified (disorder)
670561000000106	Bronchitis unspecified (disorder)
139217008	C/O bronchial catarrh (finding)
89549007	Catarrhal bronchitis (disorder)
233597004	Chest infection - unspecified bronchitis (disorder)
644261000000103	Chest infection - unspecified bronchitis (disorder)
360470001	Chronic mucus hypersecretion (disorder)
62877002	Infectious canine tracheobronchitis (disorder)
95886009	Mycoplasmal tracheobronchitis (disorder)
27475006	Parainfluenza virus bronchitis (disorder)
40600002	Pneumococcal bronchitis (disorder)
29591002	Purulent bronchitis (disorder)
1078242009	Recurrent bronchitis (disorder)
79479005	Respiratory syncytial virus bronchitis (disorder)
65878001	Septic bronchitis (disorder)
195941006	Simple chronic bronchitis (disorder)
195730002	Subacute bronchitis unspecified (disorder)
651931000000103	Subacute bronchitis unspecified (disorder)
13617004	Tracheobronchitis (disorder)
195937007	Tracheobronchitis NOS (disorder)
649111000000109	Tracheobronchitis NOS (disorder)
16146001	Viral bronchitis (disorder)
196215001	[X]Acute bronchitis due to other specified organisms (disorder)
431681000000108	[X]Acute bronchitis due to other specified organisms (disorder)
