concept_id	term
155562009	(Influenza NOS) or (influenza-like illness) (disorder)
266393000	(Influenza NOS) or (influenza-like illness) (disorder)
195931008	(Influenza like illness) or (influenza NOS) (disorder)
194946005	Acute myocarditis - influenzal (disorder)
292631000000106	Avian influenza
55604004	Avian influenza (disorder)
280331000000102	Avian influenza (disorder)
10629191000119100	Bronchiolitis caused by influenza virus (disorder)
738276008	Disorder of central nervous system co-occurrent and due to infection with influenza virus (disorder)
309789002	Encephalitis caused by influenza virus (disorder)
313251006	Encephalitis caused by influenza-specific virus not identified (disorder)
309806000	Encephalitis caused by influenza-virus identified (disorder)
192691003	Encephalitis due to influenza (disorder)
192693000	Encephalitis due to influenza-virus identified (disorder)
10677711000119101	Encephalopathy caused by Influenza A virus (disorder)
142971000119102	Encephalopathy caused by Influenza A virus subtype H1N1 (disorder)
143001000119100	Encephalopathy caused by avian influenza (disorder)
155563004	Flu-like illness NOS (disorder)
274104008	Flu-like illness NOS (finding)
677811000000106	Flu-like illness NOS (finding)
10628911000119103	Gastroenteritis caused by Influenza A virus (disorder)
142961000119108	Gastroenteritis caused by Influenza A virus subtype H1N1 (disorder)
142991000119101	Gastroenteritis caused by avian influenza (disorder)
10628871000119101	Gastroenteritis caused by influenza virus (disorder)
6142004	Influenza (disorder)
155559006	Influenza (disorder)
266353003	Influenza NOS (disorder)
670551000000108	Influenza NOS (disorder)
442438000	Influenza caused by Influenza A virus (disorder)
442696006	Influenza caused by Influenza A virus subtype H1N1 (disorder)
1149091008	Influenza caused by Influenza A virus subtype H2 (disorder)
772810003	Influenza caused by Influenza A virus subtype H3N2 (disorder)
713083002	Influenza caused by Influenza A virus subtype H5 (disorder)
772828001	Influenza caused by Influenza A virus subtype H5N1 (disorder)
450715004	Influenza caused by Influenza A virus subtype H7 (disorder)
707448003	Influenza caused by Influenza A virus subtype H7N9 (disorder)
450716003	Influenza caused by Influenza A virus subtype H9 (disorder)
24662006	Influenza caused by Influenza B virus (disorder)
81524006	Influenza caused by Influenza C virus (disorder)
711128004	Influenza caused by influenza virus type A, avian, H3N2 strain (disorder)
427873006	Influenza caused by influenza virus type A, avian, H5N1 strain (disorder)
719865001	Influenza caused by pandemic influenza virus (disorder)
719590007	Influenza caused by seasonal influenza virus (disorder)
510671000000104	Influenza due to Influenza A virus subtype H1N1
