concept_id	term
266378004	(Acute sinusitis: [NOS] or [ethmoidal] or [sphenoidal]) or ([pansinusitis]) (disorder)
155501004	(Acute sinusitis: [NOS] or [ethmoidal] or [sphenoidal]) or ([pansinusitis]) (disorder)
61711004	Acute abscess of ethmoidal sinus (disorder)
25764005	Acute abscess of frontal sinus (disorder)
89194009	Acute abscess of maxillary sinus (disorder)
111274000	Acute abscess of nasal sinus (disorder)
30239003	Acute abscess of sphenoidal sinus (disorder)
18714001	Acute antritis (disorder)
75498004	Acute bacterial sinusitis (disorder)
35168006	Acute empyema of ethmoidal sinus (disorder)
16036000	Acute empyema of frontal sinus (disorder)
76653009	Acute empyema of maxillary sinus (disorder)
58763001	Acute empyema of nasal sinus (disorder)
27278006	Acute empyema of sphenoidal sinus (disorder)
67832005	Acute ethmoidal sinusitis (disorder)
91038008	Acute frontal sinusitis (disorder)
155500003	Acute frontal sinusitis (disorder)
155499007	Acute maxillary sinusitis (disorder)
68272006	Acute maxillary sinusitis (disorder)
5028002	Acute pansinusitis (disorder)
338111000000109	Acute rhinosinusitis
431231008	Acute rhinosinusitis (disorder)
313281000000109	Acute rhinosinusitis (disorder)
15805002	Acute sinusitis (disorder)
155498004	Acute sinusitis (disorder)
195653007	Acute sinusitis NOS (disorder)
600991000000103	Acute sinusitis NOS (disorder)
725917007	Acute sinusitis caused by virus (disorder)
77919000	Acute sphenoidal sinusitis (disorder)
63140003	Acute suppuration of ethmoidal sinus (disorder)
17357005	Acute suppuration of frontal sinus (disorder)
23884004	Acute suppuration of maxillary sinus (disorder)
80600003	Acute suppuration of nasal sinus (disorder)
11134001	Acute suppuration of sphenoidal sinus (disorder)
703470001	Bacterial sinusitis (disorder)
130021000119100	Cellulitis of nasal mucous membrane (disorder)
10633991000119103	Empyema of nasal sinus (disorder)
18643000	Ethmoidal sinusitis (disorder)
78737005	Frontal sinusitis (disorder)
275485006	Frontal sinusitis (disorder)
275484005	Maxillary sinusitis (disorder)
88348008	Maxillary sinusitis (disorder)
1363165007	Maxillary sinusitis due to dental disorder (disorder)
1363164006	Maxillary sinusitis due to endodontic disease (disorder)
1363413000	Maxillary sinusitis due to periodontal disease (disorder)
371127003	Obstructive sinusitis (disorder)
1362126002	Odontogenic maxillary sinusitis due to oroantral fistula (disorder)
195651009	Other acute sinusitis (disorder)
607911000000108	Other acute sinusitis (disorder)
195652002	Other acute sinusitis NOS (disorder)
600981000000100	Other acute sinusitis NOS (disorder)
195790000	Pansinusitis (disorder)
1362142009	Periapical inflammation of mucous membrane of maxillary sinus (disorder)
897656009	Rhinosinusitis (disorder)
195649005	Sinusitis (& acute) (disorder)
36971009	Sinusitis (disorder)
275483004	Sinusitis (disorder)
721755003	Sinusitis caused by Haemophilus influenzae (disorder)
721741006	Sinusitis caused by Streptococcus pneumoniae (disorder)
13266007	Sphenoidal sinusitis (disorder)
232390009	Suppurative sinusitis with complications (disorder)
444814009	Viral sinusitis (disorder)
196196007	[X]Other acute sinusitis (disorder)
454211000000100	[X]Other acute sinusitis (disorder)
