concept_id	term
186885003	(Syphilitic: [tabes dorsalis] or [spinal sclerosis]) or (locomotor ataxia) (disorder)
12741002	AIDS with dementia (disorder)
90194001	AIDS with organic dementia (disorder)
62102009	AIDS with presenile dementia (disorder)
192178000	Acquired immune deficiency syndrome dementia complex (disorder)
788861009	Aggression due to dementia (finding)
788862002	Agitation due to dementia (finding)
230301006	Akinetic-rigid form of Huntington's disease (disorder)
82351000119105	Altered behavior due to Pick's disease (disorder)
82361000119107	Altered behavior in dementia due to Huntington chorea (disorder)
26929004	Alzheimer's disease (disorder)
97751000119108	Alzheimer's disease with altered behavior (disorder)
142011000119109	Alzheimer's disease with delirium (disorder)
141991000119109	Alzheimer's disease with delusions (disorder)
142001000119106	Alzheimer's disease with depressed mood (disorder)
134422007	Alzheimer's disease with early onset (disorder)
134423002	Alzheimer's disease with late onset (disorder)
230280008	Alzheimer's disease with progressive aphasia (disorder)
1259128002	Alzheimer's disease with psychosis (disorder)
230258005	Amyotrophic lateral sclerosis with dementia (disorder)
1259124000	Amyotrophic lateral sclerosis with frontotemporal dementia (disorder)
838276009	Amyotrophic lateral sclerosis, parkinsonism, dementia complex (disorder)
1259123006	Amyotrophic lateral sclerosis, parkinsonism, dementia complex of Kii Peninsula (disorder)
1259121008	Amyotrophic lateral sclerosis, parkinsonism, dementia complex of West New Guinea (disorder)
92001000000104	Anti-dementia drug therapy (procedure)
788866004	Anxiety due to dementia (finding)
788867008	Apathetic behavior due to dementia (finding)
191462009	Arteriosclerotic dementia (including [multi infarct dementia]) (disorder)
191467003	Arteriosclerotic dementia NOS (disorder)
597951000000102	Arteriosclerotic dementia NOS (disorder)
191464005	Arteriosclerotic dementia with delirium (disorder)
191466007	Arteriosclerotic dementia with depression (disorder)
191465006	Arteriosclerotic dementia with paranoia (disorder)
1156789004	Autosomal dominant Alzheimer disease due to mutation of amyloid precursor protein (disorder)
1156800008	Autosomal dominant Alzheimer disease due to mutation of presenilin 1 (disorder)
1156798001	Autosomal dominant Alzheimer disease due to mutation of presenilin 2 (disorder)
10171000132106	Behavioral and psychological symptoms of dementia (finding)
293671000119109	Behavioral disturbance due to multi-infarct dementia (disorder)
716994006	Behavioral variant of frontotemporal dementia (disorder)
390000004	Binswanger's disease (disorder)
279982005	Cerebral degeneration presenting primarily with dementia (disorder)
267688001	Cerebral degenerations NOS &/or Alzheimer's disease &/or Pick's disease &/or Reye's syndrome (disorder)
154998003	Cerebral degenerations NOS &/or Alzheimer's disease &/or Pick's disease &/or Reye's syndrome (disorder)
1187004001	Chronic traumatic encephalopathy (disorder)
840452004	Classical sporadic Creutzfeldt-Jakob disease (disorder)
833326008	Cortical vascular dementia (disorder)
1163119007	Creutzfeldt Jakob disease following graft of dura (disorder)
860826006	Creutzfeldt-Jakob Disease caused by human growth hormone (disorder)
155061007	Creutzfeldt-Jakob disease (disorder)
725898002	Delirium co-occurrent with dementia (disorder)
154845000	Dementia (& [presenile] or [senile]) (disorder)
268744003	Dementia (& [presenile] or [senile]) (disorder)
52448006	Dementia (disorder)
250611000000108	Dementia annual review 
253241000000103	Dementia annual review 
249181000000100	Dementia annual review (regime/therapy)
88339003	Dementia arising in the senium AND/OR presenium (disorder)
425390006	Dementia associated with Parkinson's Disease (disorder)
281004	Dementia associated with alcoholism (disorder)
191519005	Dementia associated with another disease (disorder)
698781002	Dementia associated with cerebral anoxia (disorder)
698624003	Dementia associated with cerebral lipidosis (disorder)
698626001	Dementia associated with multiple sclerosis (disorder)
698725008	Dementia associated with neurosyphilis (disorder)
698625002	Dementia associated with normal pressure hydrocephalus (disorder)
698726009	Dementia associated with viral encephalitis (disorder)
956851000000109	Dementia care plan agreed 
956841000000106	Dementia care plan agreed (finding)
956871000000100	Dementia care plan reviewed 
956861000000107	Dementia care plan reviewed (situation)
191493005	Dementia caused by drug (disorder)
733184002	Dementia caused by heavy metal exposure (disorder)
1339031006	Dementia caused by ionizing radiation (disorder)
1186887004	Dementia caused by manganese and/or manganese compound (disorder)
788898005	Dementia caused by volatile inhalant (disorder)
733194007	Dementia co-occurrent and due to Down syndrome (disorder)
21921000119103	Dementia co-occurrent and due to Pick's disease (disorder)
722977005	Dementia co-occurrent and due to neurocysticercosis (disorder)
733193001	Dementia co-occurrent and due to progressive multifocal leukoencephalopathy (disorder)
713844000	Dementia co-occurrent with human immunodeficiency virus infection (disorder)
142811000119104	Dementia due to Alzheimer's disease (disorder)
1259579003	Dementia due to Behcet syndrome (disorder)
429458009	Dementia due to Creutzfeldt Jakob disease (disorder)
1259469003	Dementia due to Gerstmann Straussler Scheinker syndrome (disorder)
1259471003	Dementia due to Hashimoto encephalopathy (disorder)
442344002	Dementia due to Huntington chorea (disorder)
1363185006	Dementia due to Lewy body disease (disorder)
1259496000	Dementia due to Lyme disease (disorder)
101421000119107	Dementia due to Parkinson's disease (disorder)
130121000119104	Dementia due to Rett syndrome (disorder)
1259513009	Dementia due to Whipple disease (disorder)
1259511006	Dementia due to Wilson disease (disorder)
1259591007	Dementia due to acquired hypothyroidism (disorder)
1259584009	Dementia due to and following dialysis (disorder)
762351006	Dementia due to and following injury of head (disorder)
1259679007	Dementia due to atypical pantothenate kinase associated neurodegeneration (disorder)
1259586006	Dementia due to autoimmune encephalitis (disorder)
840464007	Dementia due to carbon monoxide poisoning (disorder)
1259581001	Dementia due to celiac disease (disorder)
1259488005	Dementia due to cerebral amyloid angiopathy (disorder)
1259485008	Dementia due to cerebral vasculitis (disorder)
722980006	Dementia due to chromosomal anomaly (disorder)
733191004	Dementia due to chronic intracranial subdural hematoma (disorder)
1259990004	Dementia due to classical pantothenate kinase associated neurodegeneration (disorder)
1186880002	Dementia due to cobalamin deficiency (disorder)
1148924004	Dementia due to deficiency of folic acid (disorder)
724776007	Dementia due to disorder of central nervous system (disorder)
1259478009	Dementia due to familial Creutzfeldt-Jakob disease (disorder)
1259480003	Dementia due to fatal familial insomnia (disorder)
1259473000	Dementia due to fragile X syndrome (disorder)
1259476008	Dementia due to genetic disease (disorder)
1259499007	Dementia due to hemorrhagic cerebral infarction due to hypertension (disorder)
1259465009	Dementia due to hepatic failure (disorder)
733192006	Dementia due to herpes encephalitis (disorder)
1259467001	Dementia due to hypercalcemia (disorder)
1259531005	Dementia due to hypertensive encephalopathy (disorder)
1259503001	Dementia due to iatrogenic Creutzfeldt-Jakob disease (disorder)
724777003	Dementia due to infectious disease (disorder)
1259661008	Dementia due to inflammatory disorder of musculoskeletal system (disorder)
840465008	Dementia due to iron deficiency (disorder)
1259501004	Dementia due to kuru (disorder)
1259494002	Dementia due to leukodystrophy (disorder)
722979008	Dementia due to metabolic abnormality (disorder)
1259492003	Dementia due to metastatic malignant neoplasm to brain (disorder)
82371000119101	Dementia due to multiple sclerosis with altered behavior (disorder)
1259677009	Dementia due to multiple system atrophy (disorder)
1259673008	Dementia due to neurofilament inclusion body disease (disorder)
1186881003	Dementia due to niacin deficiency (disorder)
1186883000	Dementia due to nutritional deficiency disorder (disorder)
1259675001	Dementia due to obstructive hydrocephalus (disorder)
1259667007	Dementia due to paraneoplastic encephalitis (disorder)
788899002	Dementia due to pellagra (disorder)
1259663006	Dementia due to polyarteritis nodosa (disorder)
733190003	Dementia due to primary malignant neoplasm of brain (disorder)
762350007	Dementia due to prion disease (disorder)
1259665004	Dementia due to progressive subcortical gliosis (disorder)
1259656006	Dementia due to renal failure (disorder)
1259529001	Dementia due to sporadic Creutzfeldt-Jakob disease (disorder)
1259519008	Dementia due to subacute sclerosing panencephalitis (disorder)
1259517005	Dementia due to systemic lupus erythematosus (disorder)
1186879000	Dementia due to thiamine deficiency (disorder)
1259524006	Dementia due to trypanosomiasis (disorder)
1259522005	Dementia due to variant Creutzfeldt-Jakob disease (disorder)
1186877003	Dementia due to vitamin E deficiency (disorder)
733185001	Dementia following injury caused by exposure to ionizing radiation (disorder)
192161009	Dementia in Alzheimer's disease with early onset (disorder)
192802002	Dementia in Alzheimer's disease with early onset (disorder)
192162002	Dementia in Alzheimer's disease with late onset (disorder)
192803007	Dementia in Alzheimer's disease with late onset (disorder)
698949001	Dementia in remission (disorder)
386257007	Dementia management (regime/therapy)
406165004	Dementia management: bathing (regime/therapy)
938561000000106	Dementia medication review 
938551000000108	Dementia medication review (procedure)
250481000000103	Dementia monitoring 
253111000000107	Dementia monitoring 
248711000000102	Dementia monitoring (regime/therapy)
274821000000109	Dementia monitoring first letter 
251841000000101	Dementia monitoring first letter 
249161000000109	Dementia monitoring first letter (procedure)
715821000000107	Dementia monitoring first letter (procedure)
711441000000100	Dementia monitoring invitation (procedure)
251851000000103	Dementia monitoring second letter 
274831000000106	Dementia monitoring second letter 
249191000000103	Dementia monitoring second letter (procedure)
717471000000101	Dementia monitoring second letter (procedure)
249231000000107	Dementia monitoring telephone invitation (procedure)
716991000000108	Dementia monitoring telephone invitation (procedure)
274861000000101	Dementia monitoring telephone invite 
251881000000109	Dementia monitoring telephone invite 
274841000000102	Dementia monitoring third letter 
251861000000100	Dementia monitoring third letter 
249211000000104	Dementia monitoring third letter (procedure)
716671000000102	Dementia monitoring third letter (procedure)
249221000000105	Dementia monitoring verbal invitation (procedure)
716221000000104	Dementia monitoring verbal invitation (procedure)
274851000000104	Dementia monitoring verbal invite 
251871000000107	Dementia monitoring verbal invite 
278857002	Dementia of frontal lobe type (disorder)
1581000119101	Dementia of the Alzheimer type with behavioral disturbance (disorder)
82959004	Dementia paralytica juvenilis (disorder)
421529006	Dementia with acquired immunodeficiency syndrome (disorder)
1591000119103	Dementia with behavioral disturbance (disorder)
9345005	Dialysis dementia (disorder)
80098002	Diffuse Lewy body disease (disorder)
42769004	Diffuse Lewy body disease with spongiform cortical change (disorder)
789170003	Disinhibited behavior due to dementia (disorder)
1259066002	Disorder of autonomic nervous system due to senile dementia of Lewy body type (disorder)
105421000119105	Early onset Alzheimer's disease with behavioral disturbance (disorder)
1363184005	Early onset dementia due to Lewy body disease (disorder)
724992007	Epilepsy co-occurrent and due to dementia (disorder)
230290000	Epileptic dementia (disorder)
82381000119103	Epileptic dementia with behavioral disturbance (disorder)
230265002	Familial Alzheimer's disease of early onset (disorder)
230267005	Familial Alzheimer's disease of late onset (disorder)
715807002	Familial Creutzfeldt-Jakob (disorder)
783161005	Familial dementia British type (disorder)
783258000	Familial dementia Danish type (disorder)
1260328002	Familial multiple system deposition of tau protein (disorder)
230269008	Focal Alzheimer's disease (disorder)
230274000	Frontal lobe degeneration with motor neurone disease (disorder)
1263585001	Frontal variant non-amnestic Alzheimer disease (disorder)
230270009	Frontotemporal dementia (disorder)
