concept_id	term
195682008	Acute catarrhal laryngitis (disorder)
195680000	Acute edematous laryngitis (disorder)
312400008	Acute infective tracheobronchitis (disorder)
6655004	Acute laryngitis (disorder)
155506009	Acute laryngitis (disorder)
195690008	Acute laryngitis NOS (disorder)
603091000000105	Acute laryngitis NOS (disorder)
195684009	Acute laryngitis caused by Haemophilus influenzae (disorder)
408669002	Acute laryngitis with obstruction (disorder)
55355000	Acute laryngopharyngitis (disorder)
64375000	Acute laryngotracheitis (disorder)
155508005	Acute laryngotracheitis (disorder)
195697006	Acute laryngotracheitis NOS (disorder)
607931000000100	Acute laryngotracheitis NOS (disorder)
59967003	Acute laryngotracheitis with obstruction (disorder)
195696002	Acute laryngotracheitis with obstruction (disorder)
37948003	Acute laryngotracheitis without obstruction (disorder)
195695003	Acute laryngotracheitis without obstruction (disorder)
232428009	Acute membranous laryngitis (disorder)
214081000000107	Acute obstructive laryngitis
198691000000108	Acute obstructive laryngitis (disorder)
195683003	Acute phlegmonous laryngitis (disorder)
195685005	Acute pneumococcal laryngitis (disorder)
232426008	Acute simple laryngitis (disorder)
232429001	Acute subglottic laryngitis (disorder)
195686006	Acute suppurative laryngitis (disorder)
233799004	Acute toxic tracheobronchitis (disorder)
26650005	Acute tracheitis (disorder)
155507000	Acute tracheitis (disorder)
195693005	Acute tracheitis NOS (disorder)
603101000000102	Acute tracheitis NOS (disorder)
8519009	Acute tracheitis with obstruction (disorder)
195692000	Acute tracheitis with obstruction (disorder)
195691007	Acute tracheitis without obstruction (disorder)
64369009	Acute tracheitis without obstruction (disorder)
35301006	Acute tracheobronchitis (disorder)
195681001	Acute ulcerative laryngitis (disorder)
195688007	Acute viral laryngitis unspecified (disorder)
576581000000107	Acute viral laryngitis unspecified (disorder)
301824001	Acute viral laryngotracheitis (disorder)
266380005	Acute: [bronchitis] or [chest infections] or [tracheobronchitis] (disorder)
155512004	Acute: [bronchitis] or [chest infections] or [tracheobronchitis] (disorder)
111815003	Calf diptheria (disorder)
14969004	Catarrhal laryngitis (disorder)
50211006	Catarrhal tracheitis (disorder)
86773000	Edematous laryngitis (disorder)
13933003	Feline viral rhinotracheitis (disorder)
41048006	Haemophilus influenzae laryngitis (disorder)
90347002	Infectious avian laryngotracheitis (disorder)
68686002	Infectious bovine rhinotracheitis (disorder)
62877002	Infectious canine tracheobronchitis (disorder)
312423006	Infective laryngitis (disorder)
441551009	Inflammation of larynx caused by virus (disorder)
195923003	Influenza with laryngitis (disorder)
28105000	Influenzal laryngitis (disorder)
45913009	Laryngitis (disorder)
195694004	Laryngotracheitis (& acute) (disorder)
55130001	Laryngotracheitis (disorder)
275494000	Laryngotracheitis (disorder)
95886009	Mycoplasmal tracheobronchitis (disorder)
85832003	Parainfluenza virus laryngitis (disorder)
10809006	Parainfluenza virus laryngotracheitis (disorder)
195709006	Pharyngolaryngitis (disorder)
32904004	Pneumococcal laryngitis (disorder)
186359005	Streptococcal laryngitis (disorder)
85083002	Streptococcal laryngitis (disorder)
82690000	Suppurative laryngitis (disorder)
709663002	Supraglottitis (disorder)
62994001	Tracheitis (disorder)
13617004	Tracheobronchitis (disorder)
195937007	Tracheobronchitis NOS (disorder)
649111000000109	Tracheobronchitis NOS (disorder)
195706004	Tracheopharyngitis (disorder)
195707008	Tracheopharyngitis (disorder)
37426002	Ulcerative laryngitis (disorder)
66011008	Viral tracheitis (disorder)
