concept_id	term
266186009	(Legionella) or (Legionnaire's disease) (disorder)
154315008	(Legionella) or (Legionnaire's disease) (disorder)
195899006	(Pneumonia) or (chest infection) with infectious diseases EC (disorder)
60696005	AIDS with bacterial pneumonia (disorder)
37721008	AIDS with pneumococcal pneumonia (disorder)
111885006	AIDS with pneumonia (disorder)
196112005	Abscess of lung with pneumonia (disorder)
61884008	Achromobacter pneumonia (disorder)
16810008	Acquired immunodeficiency syndrome (AIDS) with viral pneumonia (disorder)
195908008	Actinomycotic pneumonia (disorder)
123587001	Acute bronchopneumonia (disorder)
58890000	Adenoviral bronchopneumonia (disorder)
41207000	Adenoviral pneumonia (disorder)
195902009	Anthrax pneumonia (disorder)
15341009	Atypical interstitial pneumonia of cattle (disorder)
195932001	Atypical pneumonia (disorder)
233606009	Atypical pneumonia (disorder)
53084003	Bacterial pneumonia (disorder)
195892002	Bacterial pneumonia NOS (disorder)
617981000000104	Bacterial pneumonia NOS (disorder)
155553007	Bacterial pneumonia NOS (disorder)
713544008	Bacterial pneumonia co-occurrent with human immunodeficiency virus infection (disorder)
420544002	Bacterial pneumonia with acquired immunodeficiency syndrome (disorder)
300999006	Basal pneumonia (disorder)
307763005	Basal pneumonia due to unspecified organism (disorder)
195918003	Basal pneumonia due to unspecified organism (disorder)
652331000000107	Basal pneumonia due to unspecified organism (disorder)
425996009	Bilateral basal pneumonia (disorder)
396286008	Bilateral bronchopneumonia (disorder)
99251000000100	Bilateral pneumonia
407671000	Bilateral pneumonia (disorder)
75642009	Bovine pneumonic pasteurellosis (disorder)
421724004	Bovine respiratory disease complex (disorder)
396285007	Bronchopneumonia (disorder)
67814005	Bronchopneumonia (disorder)
155551009	Bronchopneumonia (disorder)
10624991000119103	Bronchopneumonia caused by Achromobacter (disorder)
10625111000119106	Bronchopneumonia caused by Escherichia coli (disorder)
10625151000119107	Bronchopneumonia caused by Group A Streptococcus (disorder)
10625191000119102	Bronchopneumonia caused by Group B Streptococcus (disorder)
10625231000119106	Bronchopneumonia caused by Haemophilus influenzae (disorder)
