concept_id	term
40861911000001101	A1 Omega 1000mg capsules (TriOn Pharma Ltd) (product)
38101311000001106	AceOmeg 1000mg capsules (Essential-Healthcare Ltd) (product)
20491711000001105	Atorvastatin 10mg tablets (A A H Pharmaceuticals Ltd) (product)
42619511000001107	Atorvastatin 10mg tablets (AAH Hillcross) (product)
20482711000001104	Atorvastatin 10mg tablets (Accord-UK Ltd) (product)
20507911000001106	Atorvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
22047311000001108	Atorvastatin 10mg tablets (Almus Pharmaceuticals Ltd) (product)
41139011000001108	Atorvastatin 10mg tablets (Amarox Ltd) (product)
20569311000001104	Atorvastatin 10mg tablets (Arrow Generics Ltd) (product)
20496111000001100	Atorvastatin 10mg tablets (Aspire Pharma Ltd) (product)
34961511000001102	Atorvastatin 10mg tablets (Bristol Laboratories Ltd) (product)
41546811000001100	Atorvastatin 10mg tablets (Brown & Burk UK Ltd) (product)
20448211000001101	Atorvastatin 10mg tablets (Dexcel-Pharma Ltd) (product)
22612811000001102	Atorvastatin 10mg tablets (Doncaster Pharmaceuticals Ltd) (product)
20982011000001104	Atorvastatin 10mg tablets (Dr Reddy's Laboratories (UK) Ltd) (product)
36954211000001102	Atorvastatin 10mg tablets (Flamingo Pharma (UK) Ltd) (product)
41498211000001104	Atorvastatin 10mg tablets (JCSH Pharma Ltd) (product)
32394611000001102	Atorvastatin 10mg tablets (Kent Pharma (UK) Ltd) (product)
20529411000001104	Atorvastatin 10mg tablets (Krka UK Ltd) (product)
41957911000001102	Atorvastatin 10mg tablets (MSN Laboratories Europe Ltd) (product)
37037211000001102	Atorvastatin 10mg tablets (Mawdsley-Brooks & Company Ltd) (product)
36491211000001106	Atorvastatin 10mg tablets (Medical Valley Invest AB) (product)
38800011000001109	Atorvastatin 10mg tablets (Medihealth (Northern) Ltd) (product)
42302711000001102	Atorvastatin 10mg tablets (Medreich Plc) (product)
35136011000001102	Atorvastatin 10mg tablets (Milpharm Ltd) (product)
17610511000001104	Atorvastatin 10mg tablets (Necessity Supplies Ltd) (product)
37568611000001105	Atorvastatin 10mg tablets (NorthStar Healthcare Unlimited Company) (product)
13831111000001108	Atorvastatin 10mg tablets (PI) (Doncaster Pharmaceuticals Ltd) (product)
5450211000001108	Atorvastatin 10mg tablets (PI) (Dowelhurst Ltd) (product)
16269211000001107	Atorvastatin 10mg tablets (PI) (Mawdsley-Brooks & Company Ltd) (product)
14197911000001103	Atorvastatin 10mg tablets (PI) (Sigma Pharmaceuticals Plc) (product)
5336611000001100	Atorvastatin 10mg tablets (PI) (Waymade Ltd) (product)
22201511000001108	Atorvastatin 10mg tablets (Phoenix Healthcare Distribution Ltd) (product)
42706211000001109	Atorvastatin 10mg tablets (Rudipharm Ltd) (product)
42848411000001101	Atorvastatin 10mg tablets (Sandoz Ltd) (product)
29771911000001107	Atorvastatin 10mg tablets (Sigma Pharmaceuticals Plc) (product)
22940511000001105	Atorvastatin 10mg tablets (Sun Pharma UK Ltd) (product)
20492811000001106	Atorvastatin 10mg tablets (Teva UK Ltd) (product)
40678811000001104	Atorvastatin 10mg tablets (Torrent Pharma (UK) Ltd) (product)
20977811000001101	Atorvastatin 10mg tablets (Upjohn UK Ltd) (product)
33556411000001105	Atorvastatin 10mg tablets (Viatris UK Healthcare Ltd) (product)
21779211000001107	Atorvastatin 10mg tablets (Waymade Healthcare Plc) (product)
20572511000001108	Atorvastatin 10mg tablets (Wockhardt UK Ltd) (product)
20576911000001102	Atorvastatin 10mg tablets (Zentiva Pharma UK Ltd) (product)
114151000001104	Atorvastatin 10mg tablets (product)
14157311000001109	Atorvastatin 10mg/5ml oral solution (Special Order) (product)
14157611000001104	Atorvastatin 10mg/5ml oral suspension (Special Order) (product)
20491911000001107	Atorvastatin 20mg tablets (A A H Pharmaceuticals Ltd) (product)
42616311000001108	Atorvastatin 20mg tablets (AAH Hillcross) (product)
20482911000001102	Atorvastatin 20mg tablets (Accord-UK Ltd) (product)
20508111000001109	Atorvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
22047511000001102	Atorvastatin 20mg tablets (Almus Pharmaceuticals Ltd) (product)
41139211000001103	Atorvastatin 20mg tablets (Amarox Ltd) (product)
20569511000001105	Atorvastatin 20mg tablets (Arrow Generics Ltd) (product)
20496611000001108	Atorvastatin 20mg tablets (Aspire Pharma Ltd) (product)
34961811000001104	Atorvastatin 20mg tablets (Bristol Laboratories Ltd) (product)
41547511000001101	Atorvastatin 20mg tablets (Brown & Burk UK Ltd) (product)
20448411000001102	Atorvastatin 20mg tablets (Dexcel-Pharma Ltd) (product)
22613011000001104	Atorvastatin 20mg tablets (Doncaster Pharmaceuticals Ltd) (product)
20982411000001108	Atorvastatin 20mg tablets (Dr Reddy's Laboratories (UK) Ltd) (product)
36954411000001103	Atorvastatin 20mg tablets (Flamingo Pharma (UK) Ltd) (product)
41498411000001100	Atorvastatin 20mg tablets (JCSH Pharma Ltd) (product)
32394811000001103	Atorvastatin 20mg tablets (Kent Pharma (UK) Ltd) (product)
20529611000001101	Atorvastatin 20mg tablets (Krka UK Ltd) (product)
41958211000001105	Atorvastatin 20mg tablets (MSN Laboratories Europe Ltd) (product)
37037611000001100	Atorvastatin 20mg tablets (Mawdsley-Brooks & Company Ltd) (product)
36491411000001105	Atorvastatin 20mg tablets (Medical Valley Invest AB) (product)
38800211000001104	Atorvastatin 20mg tablets (Medihealth (Northern) Ltd) (product)
42302911000001100	Atorvastatin 20mg tablets (Medreich Plc) (product)
35136211000001107	Atorvastatin 20mg tablets (Milpharm Ltd) (product)
37569711000001105	Atorvastatin 20mg tablets (NorthStar Healthcare Unlimited Company) (product)
13831511000001104	Atorvastatin 20mg tablets (PI) (Doncaster Pharmaceuticals Ltd) (product)
5451011000001107	Atorvastatin 20mg tablets (PI) (Dowelhurst Ltd) (product)
14198211000001106	Atorvastatin 20mg tablets (PI) (Sigma Pharmaceuticals Plc) (product)
5337711000001107	Atorvastatin 20mg tablets (PI) (Waymade Ltd) (product)
22201711000001103	Atorvastatin 20mg tablets (Phoenix Healthcare Distribution Ltd) (product)
42706411000001108	Atorvastatin 20mg tablets (Rudipharm Ltd) (product)
42849311000001102	Atorvastatin 20mg tablets (Sandoz Ltd) (product)
29772111000001104	Atorvastatin 20mg tablets (Sigma Pharmaceuticals Plc) (product)
22940911000001103	Atorvastatin 20mg tablets (Sun Pharma UK Ltd) (product)
20494411000001102	Atorvastatin 20mg tablets (Teva UK Ltd) (product)
40679211000001105	Atorvastatin 20mg tablets (Torrent Pharma (UK) Ltd) (product)
20978111000001109	Atorvastatin 20mg tablets (Upjohn UK Ltd) (product)
33556611000001108	Atorvastatin 20mg tablets (Viatris UK Healthcare Ltd) (product)
21779411000001106	Atorvastatin 20mg tablets (Waymade Healthcare Plc) (product)
20572711000001103	Atorvastatin 20mg tablets (Wockhardt UK Ltd) (product)
20577211000001108	Atorvastatin 20mg tablets (Zentiva Pharma UK Ltd) (product)
110151000001106	Atorvastatin 20mg tablets (product)
14011411000001109	Atorvastatin 20mg/5ml oral solution (Special Order) (product)
14012011000001108	Atorvastatin 20mg/5ml oral suspension (Special Order) (product)
40670611000001101	Atorvastatin 20mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd) (product)
40514711000001103	Atorvastatin 20mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd) (product)
21099211000001101	Atorvastatin 30mg tablets (A A H Pharmaceuticals Ltd) (product)
20970011000001106	Atorvastatin 30mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
42439511000001102	Atorvastatin 30mg tablets (Brown & Burk UK Ltd) (product)
37742911000001106	Atorvastatin 30mg tablets (CST Pharma Ltd) (product)
37106911000001105	Atorvastatin 30mg tablets (DE Pharmaceuticals) (product)
20512911000001107	Atorvastatin 30mg tablets (Krka UK Ltd) (product)
38800411000001100	Atorvastatin 30mg tablets (Medihealth (Northern) Ltd) (product)
42303111000001109	Atorvastatin 30mg tablets (Medreich Plc) (product)
41136911000001103	Atorvastatin 30mg tablets (Milpharm Ltd) (product)
23645611000001106	Atorvastatin 30mg tablets (Phoenix Healthcare Distribution Ltd) (product)
45265311000001100	Atorvastatin 30mg tablets (Rudipharm Ltd) (product)
29772311000001102	Atorvastatin 30mg tablets (Sigma Pharmaceuticals Plc) (product)
38748111000001101	Atorvastatin 30mg tablets (Zentiva Pharma UK Ltd) (product)
20492311000001102	Atorvastatin 40mg tablets (A A H Pharmaceuticals Ltd) (product)
42620211000001108	Atorvastatin 40mg tablets (AAH Hillcross) (product)
20483111000001106	Atorvastatin 40mg tablets (Accord-UK Ltd) (product)
20508311000001106	Atorvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
22047711000001107	Atorvastatin 40mg tablets (Almus Pharmaceuticals Ltd) (product)
41140011000001101	Atorvastatin 40mg tablets (Amarox Ltd) (product)
20570211000001109	Atorvastatin 40mg tablets (Arrow Generics Ltd) (product)
20496911000001102	Atorvastatin 40mg tablets (Aspire Pharma Ltd) (product)
36566711000001104	Atorvastatin 40mg tablets (Bristol Laboratories Ltd) (product)
41548011000001105	Atorvastatin 40mg tablets (Brown & Burk UK Ltd) (product)
20448611000001104	Atorvastatin 40mg tablets (Dexcel-Pharma Ltd) (product)
22613211000001109	Atorvastatin 40mg tablets (Doncaster Pharmaceuticals Ltd) (product)
20982611000001106	Atorvastatin 40mg tablets (Dr Reddy's Laboratories (UK) Ltd) (product)
36954611000001100	Atorvastatin 40mg tablets (Flamingo Pharma (UK) Ltd) (product)
41498611000001102	Atorvastatin 40mg tablets (JCSH Pharma Ltd) (product)
32395011000001108	Atorvastatin 40mg tablets (Kent Pharma (UK) Ltd) (product)
20529811000001102	Atorvastatin 40mg tablets (Krka UK Ltd) (product)
41958411000001109	Atorvastatin 40mg tablets (MSN Laboratories Europe Ltd) (product)
37038711000001105	Atorvastatin 40mg tablets (Mawdsley-Brooks & Company Ltd) (product)
36491611000001108	Atorvastatin 40mg tablets (Medical Valley Invest AB) (product)
38800611000001102	Atorvastatin 40mg tablets (Medihealth (Northern) Ltd) (product)
42303311000001106	Atorvastatin 40mg tablets (Medreich Plc) (product)
35136411000001106	Atorvastatin 40mg tablets (Milpharm Ltd) (product)
37569111000001109	Atorvastatin 40mg tablets (NorthStar Healthcare Unlimited Company) (product)
13831811000001101	Atorvastatin 40mg tablets (PI) (Doncaster Pharmaceuticals Ltd) (product)
5451311000001105	Atorvastatin 40mg tablets (PI) (Dowelhurst Ltd) (product)
14198611000001108	Atorvastatin 40mg tablets (PI) (Sigma Pharmaceuticals Plc) (product)
22202111000001109	Atorvastatin 40mg tablets (Phoenix Healthcare Distribution Ltd) (product)
42706911000001100	Atorvastatin 40mg tablets (Rudipharm Ltd) (product)
42850211000001100	Atorvastatin 40mg tablets (Sandoz Ltd) (product)
29772511000001108	Atorvastatin 40mg tablets (Sigma Pharmaceuticals Plc) (product)
22941211000001101	Atorvastatin 40mg tablets (Sun Pharma UK Ltd) (product)
20494711000001108	Atorvastatin 40mg tablets (Teva UK Ltd) (product)
40679411000001109	Atorvastatin 40mg tablets (Torrent Pharma (UK) Ltd) (product)
20978811000001102	Atorvastatin 40mg tablets (Upjohn UK Ltd) (product)
33556811000001107	Atorvastatin 40mg tablets (Viatris UK Healthcare Ltd) (product)
21779611000001109	Atorvastatin 40mg tablets (Waymade Healthcare Plc) (product)
20573211000001104	Atorvastatin 40mg tablets (Wockhardt UK Ltd) (product)
20577411000001107	Atorvastatin 40mg tablets (Zentiva Pharma UK Ltd) (product)
111851000001107	Atorvastatin 40mg tablets (product)
14078611000001109	Atorvastatin 40mg/5ml oral solution (Special Order) (product)
14079011000001107	Atorvastatin 40mg/5ml oral suspension (Special Order) (product)
21099411000001102	Atorvastatin 60mg tablets (A A H Pharmaceuticals Ltd) (product)
20970211000001101	Atorvastatin 60mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
42439911000001109	Atorvastatin 60mg tablets (Brown & Burk UK Ltd) (product)
37107111000001105	Atorvastatin 60mg tablets (DE Pharmaceuticals) (product)
20513211000001109	Atorvastatin 60mg tablets (Krka UK Ltd) (product)
38800811000001103	Atorvastatin 60mg tablets (Medihealth (Northern) Ltd) (product)
42303511000001100	Atorvastatin 60mg tablets (Medreich Plc) (product)
41139411000001104	Atorvastatin 60mg tablets (Milpharm Ltd) (product)
23645811000001105	Atorvastatin 60mg tablets (Phoenix Healthcare Distribution Ltd) (product)
39099711000001100	Atorvastatin 60mg tablets (Pilsco Ltd) (product)
45265111000001102	Atorvastatin 60mg tablets (Rudipharm Ltd) (product)
29772711000001103	Atorvastatin 60mg tablets (Sigma Pharmaceuticals Plc) (product)
38748511000001105	Atorvastatin 60mg tablets (Zentiva Pharma UK Ltd) (product)
20492611000001107	Atorvastatin 80mg tablets (A A H Pharmaceuticals Ltd) (product)
42620511000001106	Atorvastatin 80mg tablets (AAH Hillcross) (product)
20483311000001108	Atorvastatin 80mg tablets (Accord-UK Ltd) (product)
20508511000001100	Atorvastatin 80mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
22047911000001109	Atorvastatin 80mg tablets (Almus Pharmaceuticals Ltd) (product)
41140311000001103	Atorvastatin 80mg tablets (Amarox Ltd) (product)
20570911000001100	Atorvastatin 80mg tablets (Arrow Generics Ltd) (product)
20497611000001105	Atorvastatin 80mg tablets (Aspire Pharma Ltd) (product)
36566911000001102	Atorvastatin 80mg tablets (Bristol Laboratories Ltd) (product)
41620211000001107	Atorvastatin 80mg tablets (Brown & Burk UK Ltd) (product)
35364311000001108	Atorvastatin 80mg tablets (Dexcel-Pharma Ltd) (product)
22613511000001107	Atorvastatin 80mg tablets (Doncaster Pharmaceuticals Ltd) (product)
20982911000001100	Atorvastatin 80mg tablets (Dr Reddy's Laboratories (UK) Ltd) (product)
36954811000001101	Atorvastatin 80mg tablets (Flamingo Pharma (UK) Ltd) (product)
41499211000001109	Atorvastatin 80mg tablets (JCSH Pharma Ltd) (product)
32395211000001103	Atorvastatin 80mg tablets (Kent Pharma (UK) Ltd) (product)
20513411000001108	Atorvastatin 80mg tablets (Krka UK Ltd) (product)
41958611000001107	Atorvastatin 80mg tablets (MSN Laboratories Europe Ltd) (product)
37039111000001102	Atorvastatin 80mg tablets (Mawdsley-Brooks & Company Ltd) (product)
36491811000001107	Atorvastatin 80mg tablets (Medical Valley Invest AB) (product)
38801211000001105	Atorvastatin 80mg tablets (Medihealth (Northern) Ltd) (product)
42308911000001102	Atorvastatin 80mg tablets (Medreich Plc) (product)
35136611000001109	Atorvastatin 80mg tablets (Milpharm Ltd) (product)
37568411000001107	Atorvastatin 80mg tablets (NorthStar Healthcare Unlimited Company) (product)
22202511000001100	Atorvastatin 80mg tablets (Phoenix Healthcare Distribution Ltd) (product)
42707211000001106	Atorvastatin 80mg tablets (Rudipharm Ltd) (product)
42850411000001101	Atorvastatin 80mg tablets (Sandoz Ltd) (product)
29772911000001101	Atorvastatin 80mg tablets (Sigma Pharmaceuticals Plc) (product)
22941511000001103	Atorvastatin 80mg tablets (Sun Pharma UK Ltd) (product)
20495411000001101	Atorvastatin 80mg tablets (Teva UK Ltd) (product)
40679611000001107	Atorvastatin 80mg tablets (Torrent Pharma (UK) Ltd) (product)
20979511000001106	Atorvastatin 80mg tablets (Upjohn UK Ltd) (product)
33557011000001103	Atorvastatin 80mg tablets (Viatris UK Healthcare Ltd) (product)
21779811000001108	Atorvastatin 80mg tablets (Waymade Healthcare Plc) (product)
20573911000001108	Atorvastatin 80mg tablets (Wockhardt UK Ltd) (product)
20577611000001105	Atorvastatin 80mg tablets (Zentiva Pharma UK Ltd) (product)
112151000001105	Atorvastatin 80mg tablets (product)
34676211000001104	Atorvastatin 80mg/5ml oral suspension (Special Order) (product)
4186111000001101	Berocca effervescent tablets (Bayer Plc) (product)
35106711000001109	Berocca effervescent tablets blackcurrant (Bayer Plc) (product)
27914611000001105	Berocca effervescent tablets mango (Bayer Plc) (product)
23163911000001106	Berocca effervescent tablets mixed berries (Bayer Plc) (product)
23164211000001104	Berocca effervescent tablets tropical (Bayer Plc) (product)
527311000001109	Bezafibrate 200mg tablets (A A H Pharmaceuticals Ltd) (product)
20943211000001107	Bezafibrate 200mg tablets (Actavis UK Ltd) (product)
22621011000001109	Bezafibrate 200mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13183711000001108	Bezafibrate 200mg tablets (Dowelhurst Ltd) (product)
137611000001105	Bezafibrate 200mg tablets (Kent Pharma (UK) Ltd) (product)
30000811000001101	Bezafibrate 200mg tablets (Mawdsley-Brooks & Company Ltd) (product)
41148011000001104	Bezafibrate 200mg tablets (Noumed Life Sciences Ltd) (product)
17802711000001104	Bezafibrate 200mg tablets (Phoenix Healthcare Distribution Ltd) (product)
15055111000001103	Bezafibrate 200mg tablets (Sigma Pharmaceuticals Plc) (product)
9526011000001100	Bezafibrate 200mg tablets (Teva UK Ltd) (product)
486511000001100	Bezafibrate 200mg tablets (Unichem Plc) (product)
51311000001102	Bezafibrate 200mg tablets (Viatris UK Healthcare Ltd) (product)
21794911000001107	Bezafibrate 200mg tablets (Waymade Healthcare Plc) (product)
12232211000001107	Bezafibrate 200mg/5ml oral suspension (Special Order) (product)
319941006	Bezafibrate 400mg m/r tablet (product)
29558611000001107	Bezafibrate 400mg modified-release tablets (A A H Pharmaceuticals Ltd) (product)
13585711000001104	Bezafibrate 400mg modified-release tablets (Doncaster Pharmaceuticals Ltd) (product)
13184111000001109	Bezafibrate 400mg modified-release tablets (Dowelhurst Ltd) (product)
10491111000001105	Bezafibrate 400mg modified-release tablets (PI) (Waymade Ltd) (product)
23646011000001108	Bezafibrate 400mg modified-release tablets (Phoenix Healthcare Distribution Ltd) (product)
